订单ID,日期,品类,杯型,单价,销量,门店,是否会员,销售额
ORD1001,2026-07-21,珍珠奶茶,中杯,12,3,C店-写字楼,是,36
ORD1002,2026-07-08,果茶,中杯,14,5,C店-写字楼,是,70
ORD1003,2026-07-19,奶盖茶,中杯,16,2,A店-大学城,是,32
ORD1004,2026-07-17,珍珠奶茶,中杯,12,5,C店-写字楼,否,60
ORD1005,2026-07-08,奶盖茶,大杯,19,2,A店-大学城,否,38
ORD1006,2026-07-11,纯茶,中杯,10,4,A店-大学城,是,40
ORD1007,2026-07-13,珍珠奶茶,大杯,15,5,B店-商业街,否,75
ORD1008,2026-07-26,珍珠奶茶,大杯,15,3,C店-写字楼,是,45
ORD1009,2026-07-18,纯茶,大杯,13,5,C店-写字楼,是,65
ORD1010,2026-07-02,果茶,大杯,17,2,A店-大学城,是,34
ORD1011,2026-07-13,纯茶,大杯,13,3,C店-写字楼,是,39
ORD1012,2026-07-12,纯茶,中杯,10,6,C店-写字楼,是,60
ORD1013,2026-07-20,果茶,中杯,14,4,A店-大学城,否,56
ORD1014,2026-07-09,果茶,大杯,17,2,A店-大学城,是,34
ORD1015,2026-07-26,纯茶,大杯,13,2,B店-商业街,否,26
ORD1016,2026-07-07,奶盖茶,大杯,19,4,C店-写字楼,是,76
ORD1017,2026-07-09,果茶,中杯,14,5,C店-写字楼,否,70
ORD1018,2026-07-24,奶盖茶,大杯,19,2,B店-商业街,是,38
ORD1019,2026-07-17,奶盖茶,中杯,16,1,A店-大学城,是,16
ORD1020,2026-07-21,果茶,大杯,17,1,C店-写字楼,否,17
ORD1021,2026-07-13,奶盖茶,大杯,19,1,C店-写字楼,是,19
ORD1022,2026-07-22,纯茶,大杯,13,3,A店-大学城,否,39
ORD1023,2026-07-06,奶盖茶,中杯,16,3,C店-写字楼,是,48
ORD1024,2026-07-17,珍珠奶茶,大杯,15,5,C店-写字楼,是,75
ORD1025,2026-07-05,纯茶,中杯,10,6,C店-写字楼,否,60
ORD1026,2026-07-16,珍珠奶茶,中杯,12,3,B店-商业街,是,36
ORD1027,2026-07-02,果茶,中杯,14,4,A店-大学城,是,56
ORD1028,2026-07-25,果茶,中杯,14,7,C店-写字楼,是,98
ORD1029,2026-07-09,奶盖茶,中杯,16,2,C店-写字楼,否,32
ORD1030,2026-07-13,纯茶,大杯,13,4,C店-写字楼,是,52
ORD1031,2026-07-08,果茶,中杯,14,1,B店-商业街,是,14
ORD1032,2026-07-19,果茶,中杯,14,2,A店-大学城,是,28
ORD1033,2026-07-29,珍珠奶茶,大杯,15,5,A店-大学城,是,75
ORD1034,2026-07-09,奶盖茶,中杯,16,2,C店-写字楼,否,32
